Date,Start (ET),Visitor team,Visitor team's points,Home team,Home team's points,Attendance,Arena,Notes
"Sun, Feb 26, 2023",6:00p,Toronto Raptors,93,Cleveland Cavaliers,118,"19,432",Rocket Mortgage Fieldhouse,Regular Season
"Sun, Feb 26, 2023",7:00p,Sacramento Kings,124,Oklahoma City Thunder,115,"15,147",Paycom Center,Regular Season
"Sun, Feb 26, 2023",7:30p,Minnesota Timberwolves,104,Golden State Warriors,109,"18,064",Chase Center,Regular Season
"Sun, Feb 26, 2023",9:00p,Houston Rockets,114,Portland Trail Blazers,131,"19,215",Moda Center,Regular Season
"Sun, Feb 26, 2023",10:00p,Los Angeles Clippers,124,Denver Nuggets,134,"19,689",Ball Arena,Regular Season
"Mon, Feb 27, 2023",7:00p,Detroit Pistons,106,Charlotte Hornets,117,"14,184",Spectrum Center,Regular Season
"Mon, Feb 27, 2023",7:00p,Miami Heat,101,Philadelphia 76ers,99,"20,859",Wells Fargo Center,Regular Season
"Mon, Feb 27, 2023",7:30p,Boston Celtics,94,New York Knicks,109,"19,812",Madison Square Garden (IV),Regular Season
"Mon, Feb 27, 2023",8:00p,Orlando Magic,101,New Orleans Pelicans,93,"16,038",Smoothie King Center,Regular Season
"Tue, Feb 28, 2023",7:30p,Washington Wizards,119,Atlanta Hawks,116,"17,395",State Farm Arena,Regular Season
"Tue, Feb 28, 2023",7:30p,Milwaukee Bucks,118,Brooklyn Nets,104,"17,732",Barclays Center,Regular Season
"Tue, Feb 28, 2023",7:30p,Los Angeles Lakers,109,Memphis Grizzlies,121,"17,794",FedEx Forum,Regular Season
"Tue, Feb 28, 2023",7:30p,Chicago Bulls,98,Toronto Raptors,104,"19,800",Scotiabank Arena,Regular Season
"Tue, Feb 28, 2023",8:00p,Denver Nuggets,133,Houston Rockets,112,"15,368",Toyota Center,Regular Season
"Tue, Feb 28, 2023",8:00p,Sacramento Kings,123,Oklahoma City Thunder,117,"13,353",Paycom Center,Regular Season
"Tue, Feb 28, 2023",8:30p,Indiana Pacers,124,Dallas Mavericks,122,"20,277",American Airlines Center,Regular Season
"Tue, Feb 28, 2023",9:00p,San Antonio Spurs,102,Utah Jazz,94,"18,206",Vivint Arena,Regular Season
"Tue, Feb 28, 2023",10:00p,Portland Trail Blazers,105,Golden State Warriors,123,"18,064",Chase Center,Regular Season
"Tue, Feb 28, 2023",10:00p,Minnesota Timberwolves,108,Los Angeles Clippers,101,"17,022",Crypto.com Arena,Regular Season
"Wed, Mar 1, 2023",7:00p,Phoenix Suns,105,Charlotte Hornets,91,"19,137",Spectrum Center,Regular Season
"Wed, Mar 1, 2023",7:00p,Chicago Bulls,117,Detroit Pistons,115,"18,098",Little Caesars Arena,Regular Season
"Wed, Mar 1, 2023",7:30p,Cleveland Cavaliers,113,Boston Celtics,117,"19,156",TD Garden,Regular Season
"Wed, Mar 1, 2023",7:30p,Philadelphia 76ers,119,Miami Heat,96,"19,600",Kaseya Center,Regular Season
"Wed, Mar 1, 2023",7:30p,Brooklyn Nets,118,New York Knicks,142,"19,812",Madison Square Garden (IV),Regular Season
"Wed, Mar 1, 2023",8:00p,Memphis Grizzlies,113,Houston Rockets,99,"15,919",Toyota Center,Regular Season
"Wed, Mar 1, 2023",8:00p,Orlando Magic,117,Milwaukee Bucks,139,"17,354",Fiserv Forum,Regular Season
"Wed, Mar 1, 2023",8:00p,Los Angeles Lakers,123,Oklahoma City Thunder,117,"17,114",Paycom Center,Regular Season
"Wed, Mar 1, 2023",10:00p,New Orleans Pelicans,121,Portland Trail Blazers,110,"18,566",Moda Center,Regular Season
"Thu, Mar 2, 2023",7:00p,Toronto Raptors,108,Washington Wizards,119,"14,643",Capital One Arena,Regular Season
"Thu, Mar 2, 2023",7:30p,Philadelphia 76ers,126,Dallas Mavericks,133,"20,002",American Airlines Center,Regular Season
"Thu, Mar 2, 2023",8:30p,Indiana Pacers,99,San Antonio Spurs,110,"14,617",AT&T Center,Regular Season
"Thu, Mar 2, 2023",10:00p,Los Angeles Clippers,91,Golden State Warriors,115,"18,064",Chase Center,Regular Season
"Fri, Mar 3, 2023",7:00p,Orlando Magic,117,Charlotte Hornets,106,"16,683",Spectrum Center,Regular Season
"Fri, Mar 3, 2023",7:30p,Portland Trail Blazers,111,Atlanta Hawks,129,"17,521",State Farm Arena,Regular Season
"Fri, Mar 3, 2023",7:30p,Brooklyn Nets,115,Boston Celtics,105,"19,156",TD Garden,Regular Season
"Fri, Mar 3, 2023",8:00p,Phoenix Suns,125,Chicago Bulls,104,"21,169",United Center,Regular Season
"Fri, Mar 3, 2023",8:00p,New York Knicks,122,Miami Heat,120,"19,600",Kaseya Center,Regular Season
"Fri, Mar 3, 2023",8:00p,Utah Jazz,103,Oklahoma City Thunder,130,"16,538",Paycom Center,Regular Season
"Fri, Mar 3, 2023",10:00p,Memphis Grizzlies,97,Denver Nuggets,113,"19,641",Ball Arena,Regular Season
"Fri, Mar 3, 2023",10:00p,New Orleans Pelicans,99,Golden State Warriors,108,"18,064",Chase Center,Regular Season
"Fri, Mar 3, 2023",10:00p,Los Angeles Clippers,127,Sacramento Kings,128,"18,111",Golden 1 Center,Regular Season
"Fri, Mar 3, 2023",10:30p,Minnesota Timberwolves,110,Los Angeles Lakers,102,"18,997",Crypto.com Arena,Regular Season
"Sat, Mar 4, 2023",5:00p,Toronto Raptors,116,Washington Wizards,109,"18,174",Capital One Arena,Regular Season
"Sat, Mar 4, 2023",7:30p,Detroit Pistons,90,Cleveland Cavaliers,114,"19,432",Rocket Mortgage Fieldhouse,Regular Season
"Sat, Mar 4, 2023",8:00p,Atlanta Hawks,109,Miami Heat,117,"19,600",Kaseya Center,Regular Season
"Sat, Mar 4, 2023",8:00p,Houston Rockets,122,San Antonio Spurs,110,"18,354",AT&T Center,Regular Season
"Sat, Mar 4, 2023",8:30p,Philadelphia 76ers,133,Milwaukee Bucks,130,"18,100",Fiserv Forum,Regular Season
"Sat, Mar 4, 2023",10:00p,Minnesota Timberwolves,138,Sacramento Kings,134,"18,111",Golden 1 Center,Regular Season
"Sun, Mar 5, 2023",1:00p,Phoenix Suns,130,Dallas Mavericks,126,"20,311",American Airlines Center,Regular Season
"Sun, Mar 5, 2023",3:30p,Indiana Pacers,125,Chicago Bulls,122,"21,225",United Center,Regular Season
"Sun, Mar 5, 2023",3:30p,Golden State Warriors,105,Los Angeles Lakers,113,"18,997",Crypto.com Arena,Regular Season
"Sun, Mar 5, 2023",6:00p,Charlotte Hornets,86,Brooklyn Nets,102,"17,921",Barclays Center,Regular Season
"Sun, Mar 5, 2023",6:00p,Portland Trail Blazers,122,Orlando Magic,119,"18,846",Amway Center,Regular Season
"Sun, Mar 5, 2023",7:00p,San Antonio Spurs,110,Houston Rockets,142,"16,721",Toyota Center,Regular Season
"Sun, Mar 5, 2023",7:00p,Utah Jazz,119,Oklahoma City Thunder,129,"14,778",Paycom Center,Regular Season
"Sun, Mar 5, 2023",7:30p,New York Knicks,131,Boston Celtics,129,"19,156",TD Garden,Regular Season
"Sun, Mar 5, 2023",7:30p,Milwaukee Bucks,117,Washington Wizards,111,"18,746",Capital One Arena,Regular Season
"Sun, Mar 5, 2023",10:00p,Memphis Grizzlies,129,Los Angeles Clippers,135,"19,068",Crypto.com Arena,Regular Season
"Mon, Mar 6, 2023",7:00p,Boston Celtics,114,Cleveland Cavaliers,118,"19,432",Rocket Mortgage Fieldhouse,Regular Season
"Mon, Mar 6, 2023",7:00p,Portland Trail Blazers,110,Detroit Pistons,104,"16,989",Little Caesars Arena,Regular Season
"Mon, Mar 6, 2023",7:00p,Philadelphia 76ers,147,Indiana Pacers,143,"15,008",Gainbridge Fieldhouse,Regular Season
"Mon, Mar 6, 2023",7:30p,Atlanta Hawks,128,Miami Heat,130,"19,600",Kaseya Center,Regular Season
"Mon, Mar 6, 2023",9:00p,Toronto Raptors,113,Denver Nuggets,118,"19,520",Ball Arena,Regular Season
"Mon, Mar 6, 2023",10:00p,New Orleans Pelicans,108,Sacramento Kings,123,"17,708",Golden 1 Center,Regular Season
"Tue, Mar 7, 2023",7:00p,Washington Wizards,119,Detroit Pistons,117,"17,855",Little Caesars Arena,Regular Season
"Tue, Mar 7, 2023",7:00p,Milwaukee Bucks,134,Orlando Magic,123,"16,110",Amway Center,Regular Season
"Tue, Mar 7, 2023",7:30p,Philadelphia 76ers,117,Minnesota Timberwolves,94,"17,136",Target Center,Regular Season
"Tue, Mar 7, 2023",7:30p,Charlotte Hornets,112,New York Knicks,105,"19,812",Madison Square Garden (IV),Regular Season
"Tue, Mar 7, 2023",8:00p,Brooklyn Nets,118,Houston Rockets,96,"14,833",Toyota Center,Regular Season
"Tue, Mar 7, 2023",8:00p,Golden State Warriors,128,Oklahoma City Thunder,137,"16,142",Paycom Center,Regular Season
"Tue, Mar 7, 2023",8:30p,Utah Jazz,116,Dallas Mavericks,120,"20,277",American Airlines Center,Regular Season
"Tue, Mar 7, 2023",10:00p,Memphis Grizzlies,103,Los Angeles Lakers,112,"18,997",Crypto.com Arena,Regular Season
"Wed, Mar 8, 2023",7:00p,Atlanta Hawks,122,Washington Wizards,120,"15,087",Capital One Arena,Regular Season
"Wed, Mar 8, 2023",7:30p,Portland Trail Blazers,93,Boston Celtics,115,"19,156",TD Garden,Regular Season
"Wed, Mar 8, 2023",7:30p,Cleveland Cavaliers,104,Miami Heat,100,"19,600",Kaseya Center,Regular Season
"Wed, Mar 8, 2023",7:30p,Dallas Mavericks,106,New Orleans Pelicans,113,"17,473",Smoothie King Center,Regular Season
"Wed, Mar 8, 2023",9:00p,Chicago Bulls,117,Denver Nuggets,96,"19,896",Ball Arena,Regular Season
"Wed, Mar 8, 2023",9:00p,Oklahoma City Thunder,101,Phoenix Suns,132,"17,071",Footprint Center,Regular Season
"Wed, Mar 8, 2023",10:00p,Toronto Raptors,100,Los Angeles Clippers,108,"17,397",Crypto.com Arena,Regular Season
"Thu, Mar 9, 2023",7:00p,Charlotte Hornets,113,Detroit Pistons,103,"17,121",Little Caesars Arena,Regular Season
"Thu, Mar 9, 2023",7:00p,Houston Rockets,125,Indiana Pacers,134,"16,027",Gainbridge Fieldhouse,Regular Season
"Thu, Mar 9, 2023",7:00p,Utah Jazz,131,Orlando Magic,124,"16,552",Amway Center,Regular Season
"Thu, Mar 9, 2023",7:30p,Golden State Warriors,110,Memphis Grizzlies,131,"17,794",FedEx Forum,Regular Season
"Thu, Mar 9, 2023",8:00p,Brooklyn Nets,113,Milwaukee Bucks,118,"17,341",Fiserv Forum,Regular Season
"Thu, Mar 9, 2023",10:00p,New York Knicks,117,Sacramento Kings,122,"18,068",Golden 1 Center,Regular Season
"Fri, Mar 10, 2023",7:00p,Portland Trail Blazers,119,Philadelphia 76ers,120,"21,001",Wells Fargo Center,Regular Season
"Fri, Mar 10, 2023",7:00p,Atlanta Hawks,114,Washington Wizards,107,"18,161",Capital One Arena,Regular Season
"Fri, Mar 10, 2023",8:00p,Cleveland Cavaliers,115,Miami Heat,119,"19,757",Kaseya Center,Regular Season
"Fri, Mar 10, 2023",8:00p,Brooklyn Nets,124,Minnesota Timberwolves,123,"17,136",Target Center,Regular Season
"Fri, Mar 10, 2023",8:00p,Denver Nuggets,120,San Antonio Spurs,128,"18,354",AT&T Center,Regular Season
"Fri, Mar 10, 2023",10:30p,Toronto Raptors,112,Los Angeles Lakers,122,"18,322",Crypto.com Arena,Regular Season
"Sat, Mar 11, 2023",4:00p,New York Knicks,95,Los Angeles Clippers,106,"19,068",Crypto.com Arena,Regular Season
"Sat, Mar 11, 2023",7:00p,Utah Jazz,119,Charlotte Hornets,111,"17,221",Spectrum Center,Regular Season
"Sat, Mar 11, 2023",7:00p,Indiana Pacers,121,Detroit Pistons,115,"20,190",Little Caesars Arena,Regular Season
"Sat, Mar 11, 2023",7:00p,Miami Heat,114,Orlando Magic,126,"17,347",Amway Center,Regular Season
"Sat, Mar 11, 2023",7:30p,Boston Celtics,134,Atlanta Hawks,125,"17,884",State Farm Arena,Regular Season
"Sat, Mar 11, 2023",8:00p,Chicago Bulls,119,Houston Rockets,111,"18,055",Toyota Center,Regular Season
"Sat, Mar 11, 2023",8:00p,Dallas Mavericks,108,Memphis Grizzlies,112,"17,794",FedEx Forum,Regular Season
"Sat, Mar 11, 2023",8:30p,Milwaukee Bucks,116,Golden State Warriors,125,"18,064",Chase Center,Regular Season
"Sat, Mar 11, 2023",8:30p,Oklahoma City Thunder,110,New Orleans Pelicans,96,"17,606",Smoothie King Center,Regular Season
"Sat, Mar 11, 2023",9:00p,Sacramento Kings,128,Phoenix Suns,119,"17,071",Footprint Center,Regular Season
"Sun, Mar 12, 2023",3:30p,Brooklyn Nets,122,Denver Nuggets,120,"19,739",Ball Arena,Regular Season
"Sun, Mar 12, 2023",5:00p,Cleveland Cavaliers,114,Charlotte Hornets,108,"17,342",Spectrum Center,Regular Season
"Sun, Mar 12, 2023",6:00p,Washington Wizards,93,Philadelphia 76ers,112,"21,220",Wells Fargo Center,Regular Season
"Sun, Mar 12, 2023",7:00p,Portland Trail Blazers,110,New Orleans Pelicans,127,"16,676",Smoothie King Center,Regular Season
"Sun, Mar 12, 2023",7:00p,Oklahoma City Thunder,102,San Antonio Spurs,90,"17,314",AT&T Center,Regular Season
"Sun, Mar 12, 2023",9:00p,New York Knicks,112,Los Angeles Lakers,108,"18,997",Crypto.com Arena,Regular Season
"Mon, Mar 13, 2023",7:00p,Indiana Pacers,97,Detroit Pistons,117,"18,313",Little Caesars Arena,Regular Season
"Mon, Mar 13, 2023",7:30p,Minnesota Timberwolves,136,Atlanta Hawks,115,"17,799",State Farm Arena,Regular Season
"Mon, Mar 13, 2023",7:30p,Memphis Grizzlies,104,Dallas Mavericks,88,"20,303",American Airlines Center,Regular Season
"Mon, Mar 13, 2023",7:30p,Utah Jazz,115,Miami Heat,119,"19,721",Kaseya Center,Regular Season
"Mon, Mar 13, 2023",8:00p,Boston Celtics,109,Houston Rockets,111,"18,055",Toyota Center,Regular Season
"Mon, Mar 13, 2023",10:00p,Phoenix Suns,112,Golden State Warriors,123,"18,064",Chase Center,Regular Season
"Mon, Mar 13, 2023",10:00p,Milwaukee Bucks,133,Sacramento Kings,124,"18,111",Golden 1 Center,Regular Season
"Tue, Mar 14, 2023",7:00p,Cleveland Cavaliers,120,Charlotte Hornets,104,"14,690",Spectrum Center,Regular Season
"Tue, Mar 14, 2023",7:00p,Detroit Pistons,97,Washington Wizards,117,"15,279",Capital One Arena,Regular Season
"Tue, Mar 14, 2023",7:30p,Denver Nuggets,110,Toronto Raptors,125,"19,800",Scotiabank Arena,Regular Season
"Tue, Mar 14, 2023",8:00p,Los Angeles Lakers,123,New Orleans Pelicans,108,"18,625",Smoothie King Center,Regular Season
"Tue, Mar 14, 2023",8:00p,Brooklyn Nets,107,Oklahoma City Thunder,121,"16,976",Paycom Center,Regular Season
"Tue, Mar 14, 2023",8:00p,Orlando Magic,114,San Antonio Spurs,132,"13,708",AT&T Center,Regular Season
"Tue, Mar 14, 2023",10:00p,Milwaukee Bucks,116,Phoenix Suns,104,"17,071",Footprint Center,Regular Season
"Tue, Mar 14, 2023",10:00p,New York Knicks,123,Portland Trail Blazers,107,"19,488",Moda Center,Regular Season
"Wed, Mar 15, 2023",7:30p,Philadelphia 76ers,118,Cleveland Cavaliers,109,"19,432",Rocket Mortgage Fieldhouse,Regular Season
"Wed, Mar 15, 2023",7:30p,Memphis Grizzlies,119,Miami Heat,138,"19,794",Kaseya Center,Regular Season
"Wed, Mar 15, 2023",8:00p,Sacramento Kings,117,Chicago Bulls,114,"21,886",United Center,Regular Season
"Wed, Mar 15, 2023",8:00p,Los Angeles Lakers,110,Houston Rockets,114,"18,055",Toyota Center,Regular Season
"Wed, Mar 15, 2023",8:00p,Boston Celtics,104,Minnesota Timberwolves,102,"17,136",Target Center,Regular Season
"Wed, Mar 15, 2023",8:30p,Dallas Mavericks,137,San Antonio Spurs,128,"18,354",AT&T Center,Regular Season
"Wed, Mar 15, 2023",10:00p,Golden State Warriors,126,Los Angeles Clippers,134,"19,068",Crypto.com Arena,Regular Season
"Thu, Mar 16, 2023",7:00p,Denver Nuggets,119,Detroit Pistons,100,"17,987",Little Caesars Arena,Regular Season
"Thu, Mar 16, 2023",7:30p,Sacramento Kings,101,Brooklyn Nets,96,"18,172",Barclays Center,Regular Season
"Thu, Mar 16, 2023",7:30p,Oklahoma City Thunder,111,Toronto Raptors,128,"19,800",Scotiabank Arena,Regular Season
"Thu, Mar 16, 2023",8:00p,Indiana Pacers,139,Milwaukee Bucks,123,"17,797",Fiserv Forum,Regular Season
"Thu, Mar 16, 2023",10:00p,Orlando Magic,113,Phoenix Suns,116,"17,071",Footprint Center,Regular Season
"Fri, Mar 17, 2023",7:00p,Philadelphia 76ers,121,Charlotte Hornets,82,"19,096",Spectrum Center,Regular Season
"Fri, Mar 17, 2023",7:30p,Golden State Warriors,119,Atlanta Hawks,127,"18,201",State Farm Arena,Regular Season
"Fri, Mar 17, 2023",7:30p,Washington Wizards,94,Cleveland Cavaliers,117,"19,432",Rocket Mortgage Fieldhouse,Regular Season
"Fri, Mar 17, 2023",8:00p,Minnesota Timberwolves,131,Chicago Bulls,139,"20,109",United Center,Regular Season
"Fri, Mar 17, 2023",8:00p,New Orleans Pelicans,112,Houston Rockets,114,"15,841",Toyota Center,Regular Season
"Fri, Mar 17, 2023",8:00p,Memphis Grizzlies,126,San Antonio Spurs,120,"15,221",AT&T Center,Regular Season
"Fri, Mar 17, 2023",10:00p,Boston Celtics,126,Portland Trail Blazers,112,"19,393",Moda Center,Regular Season
"Fri, Mar 17, 2023",10:30p,Dallas Mavericks,111,Los Angeles Lakers,110,"18,997",Crypto.com Arena,Regular Season
"Sat, Mar 18, 2023",1:00p,Denver Nuggets,110,New York Knicks,116,"19,812",Madison Square Garden (IV),Regular Season
"Sat, Mar 18, 2023",3:00p,Orlando Magic,113,Los Angeles Clippers,108,"17,533",Crypto.com Arena,Regular Season
"Sat, Mar 18, 2023",7:00p,Philadelphia 76ers,141,Indiana Pacers,121,"17,274",Gainbridge Fieldhouse,Regular Season
"Sat, Mar 18, 2023",7:00p,Minnesota Timberwolves,107,Toronto Raptors,122,"19,800",Scotiabank Arena,Regular Season
"Sat, Mar 18, 2023",8:00p,Miami Heat,99,Chicago Bulls,113,"20,094",United Center,Regular Season
"Sat, Mar 18, 2023",8:00p,Golden State Warriors,119,Memphis Grizzlies,133,"18,396",FedEx Forum,Regular Season
"Sat, Mar 18, 2023",8:00p,Sacramento Kings,132,Washington Wizards,118,"18,529",Capital One Arena,Regular Season
"Sat, Mar 18, 2023",9:00p,Boston Celtics,117,Utah Jazz,118,"18,206",Vivint Arena,Regular Season
"Sun, Mar 19, 2023",3:30p,Denver Nuggets,108,Brooklyn Nets,102,"18,235",Barclays Center,Regular Season
"Sun, Mar 19, 2023",3:30p,Phoenix Suns,120,Oklahoma City Thunder,124,"17,897",Paycom Center,Regular Season
"Sun, Mar 19, 2023",4:00p,Atlanta Hawks,118,San Antonio Spurs,126,"16,311",AT&T Center,Regular Season
"Sun, Mar 19, 2023",6:00p,Miami Heat,112,Detroit Pistons,100,"20,190",Little Caesars Arena,Regular Season
"Sun, Mar 19, 2023",7:00p,New Orleans Pelicans,117,Houston Rockets,107,"14,209",Toyota Center,Regular Season
"Sun, Mar 19, 2023",8:00p,Toronto Raptors,111,Milwaukee Bucks,118,"17,341",Fiserv Forum,Regular Season
"Sun, Mar 19, 2023",9:00p,Los Angeles Clippers,117,Portland Trail Blazers,102,"18,714",Moda Center,Regular Season
"Sun, Mar 19, 2023",9:30p,Orlando Magic,105,Los Angeles Lakers,111,"18,997",Crypto.com Arena,Regular Season
"Mon, Mar 20, 2023",7:00p,Indiana Pacers,109,Charlotte Hornets,115,"12,449",Spectrum Center,Regular Season
"Mon, Mar 20, 2023",7:00p,Chicago Bulls,109,Philadelphia 76ers,105,"21,145",Wells Fargo Center,Regular Season
"Mon, Mar 20, 2023",7:30p,Minnesota Timberwolves,140,New York Knicks,134,"19,812",Madison Square Garden (IV),Regular Season
"Mon, Mar 20, 2023",8:00p,Golden State Warriors,121,Houston Rockets,108,"16,116",Toyota Center,Regular Season
"Mon, Mar 20, 2023",8:00p,Dallas Mavericks,108,Memphis Grizzlies,112,"17,794",FedEx Forum,Regular Season
"Mon, Mar 20, 2023",9:00p,Sacramento Kings,120,Utah Jazz,128,"18,206",Vivint Arena,Regular Season
"Tue, Mar 21, 2023",7:00p,Washington Wizards,112,Orlando Magic,122,"16,096",Amway Center,Regular Season
"Tue, Mar 21, 2023",7:30p,Detroit Pistons,107,Atlanta Hawks,129,"17,129",State Farm Arena,Regular Season
"Tue, Mar 21, 2023",7:30p,Cleveland Cavaliers,115,Brooklyn Nets,109,"17,732",Barclays Center,Regular Season
"Tue, Mar 21, 2023",8:00p,San Antonio Spurs,84,New Orleans Pelicans,119,"15,466",Smoothie King Center,Regular Season
"Tue, Mar 21, 2023",10:00p,Boston Celtics,132,Sacramento Kings,109,"18,111",Golden 1 Center,Regular Season
"Tue, Mar 21, 2023",10:30p,Oklahoma City Thunder,101,Los Angeles Clippers,100,"19,068",Crypto.com Arena,Regular Season
"Wed, Mar 22, 2023",7:00p,Denver Nuggets,118,Washington Wizards,104,"16,508",Capital One Arena,Regular Season
"Wed, Mar 22, 2023",7:30p,Golden State Warriors,127,Dallas Mavericks,125,"20,377",American Airlines Center,Regular Season
"Wed, Mar 22, 2023",7:30p,New York Knicks,120,Miami Heat,127,"19,863",Kaseya Center,Regular Season
"Wed, Mar 22, 2023",7:30p,Indiana Pacers,118,Toronto Raptors,114,"19,800",Scotiabank Arena,Regular Season
"Wed, Mar 22, 2023",8:00p,Philadelphia 76ers,116,Chicago Bulls,91,"20,946",United Center,Regular Season
"Wed, Mar 22, 2023",8:00p,Houston Rockets,125,Memphis Grizzlies,130,"17,794",FedEx Forum,Regular Season
"Wed, Mar 22, 2023",8:00p,San Antonio Spurs,94,Milwaukee Bucks,130,"17,756",Fiserv Forum,Regular Season
"Wed, Mar 22, 2023",8:00p,Atlanta Hawks,124,Minnesota Timberwolves,125,"17,136",Target Center,Regular Season
"Wed, Mar 22, 2023",9:00p,Portland Trail Blazers,127,Utah Jazz,115,,Vivint Arena,Regular Season
"Wed, Mar 22, 2023",10:00p,Phoenix Suns,111,Los Angeles Lakers,122,"18,435",Crypto.com Arena,Regular Season
"Thu, Mar 23, 2023",7:00p,New York Knicks,106,Orlando Magic,111,"17,607",Amway Center,Regular Season
"Thu, Mar 23, 2023",7:30p,Cleveland Cavaliers,116,Brooklyn Nets,114,"17,732",Barclays Center,Regular Season
"Thu, Mar 23, 2023",8:00p,Charlotte Hornets,96,New Orleans Pelicans,115,"15,749",Smoothie King Center,Regular Season
"Thu, Mar 23, 2023",10:30p,Oklahoma City Thunder,105,Los Angeles Clippers,127,"17,307",Crypto.com Arena,Regular Season
"Fri, Mar 24, 2023",7:00p,Indiana Pacers,95,Boston Celtics,120,"19,156",TD Garden,Regular Season
"Fri, Mar 24, 2023",7:00p,San Antonio Spurs,124,Washington Wizards,136,"17,004",Capital One Arena,Regular Season
"Fri, Mar 24, 2023",7:30p,Detroit Pistons,97,Toronto Raptors,118,"19,800",Scotiabank Arena,Regular Season
"Fri, Mar 24, 2023",8:00p,Houston Rockets,114,Memphis Grizzlies,151,"17,851",FedEx Forum,Regular Season
"Fri, Mar 24, 2023",8:30p,Charlotte Hornets,117,Dallas Mavericks,109,"20,347",American Airlines Center,Regular Season
"Fri, Mar 24, 2023",9:00p,Milwaukee Bucks,144,Utah Jazz,116,"18,206",Vivint Arena,Regular Season
"Fri, Mar 24, 2023",10:00p,Philadelphia 76ers,112,Golden State Warriors,120,"18,064",Chase Center,Regular Season
"Fri, Mar 24, 2023",10:00p,Chicago Bulls,124,Portland Trail Blazers,96,"19,393",Moda Center,Regular Season
"Fri, Mar 24, 2023",10:00p,Phoenix Suns,127,Sacramento Kings,135,"18,151",Golden 1 Center,Regular Season
"Fri, Mar 24, 2023",10:30p,Oklahoma City Thunder,111,Los Angeles Lakers,116,"18,997",Crypto.com Arena,Regular Season
"Sat, Mar 25, 2023",5:00p,Indiana Pacers,130,Atlanta Hawks,143,"17,699",State Farm Arena,Regular Season
"Sat, Mar 25, 2023",8:00p,Brooklyn Nets,129,Miami Heat,100,"19,680",Kaseya Center,Regular Season
"Sat, Mar 25, 2023",9:00p,Milwaukee Bucks,106,Denver Nuggets,129,"19,919",Ball Arena,Regular Season
"Sat, Mar 25, 2023",10:00p,Philadelphia 76ers,105,Phoenix Suns,125,"17,071",Footprint Center,Regular Season
"Sat, Mar 25, 2023",10:00p,Utah Jazz,113,Sacramento Kings,121,"18,151",Golden 1 Center,Regular Season
"Sat, Mar 25, 2023",10:30p,New Orleans Pelicans,131,Los Angeles Clippers,110,"17,702",Crypto.com Arena,Regular Season
"Sun, Mar 26, 2023",1:00p,Dallas Mavericks,104,Charlotte Hornets,110,"19,264",Spectrum Center,Regular Season
"Sun, Mar 26, 2023",3:30p,Chicago Bulls,118,Los Angeles Lakers,108,"18,997",Crypto.com Arena,Regular Season
"Sun, Mar 26, 2023",6:00p,Memphis Grizzlies,123,Atlanta Hawks,119,"18,056",State Farm Arena,Regular Season
"Sun, Mar 26, 2023",6:00p,San Antonio Spurs,93,Boston Celtics,137,"19,156",TD Garden,Regular Season
"Sun, Mar 26, 2023",6:00p,Houston Rockets,91,Cleveland Cavaliers,108,"19,432",Rocket Mortgage Fieldhouse,Regular Season
"Sun, Mar 26, 2023",6:00p,Brooklyn Nets,106,Orlando Magic,119,"17,862",Amway Center,Regular Season
"Sun, Mar 26, 2023",6:00p,Washington Wizards,104,Toronto Raptors,114,"19,800",Scotiabank Arena,Regular Season
"Sun, Mar 26, 2023",7:00p,Oklahoma City Thunder,118,Portland Trail Blazers,112,"18,626",Moda Center,Regular Season
"Sun, Mar 26, 2023",8:30p,Minnesota Timberwolves,99,Golden State Warriors,96,"18,064",Chase Center,Regular Season
"Mon, Mar 27, 2023",7:00p,Milwaukee Bucks,126,Detroit Pistons,117,"21,090",Little Caesars Arena,Regular Season
"Mon, Mar 27, 2023",7:00p,Dallas Mavericks,127,Indiana Pacers,104,"17,022",Gainbridge Fieldhouse,Regular Season
"Mon, Mar 27, 2023",7:30p,Houston Rockets,115,New York Knicks,137,"19,812",Madison Square Garden (IV),Regular Season
"Mon, Mar 27, 2023",9:00p,Phoenix Suns,117,Utah Jazz,103,"18,206",Vivint Arena,Regular Season
"Mon, Mar 27, 2023",9:30p,Philadelphia 76ers,111,Denver Nuggets,116,"19,781",Ball Arena,Regular Season
"Mon, Mar 27, 2023",10:00p,New Orleans Pelicans,124,Portland Trail Blazers,90,"17,943",Moda Center,Regular Season
"Mon, Mar 27, 2023",10:00p,Minnesota Timberwolves,119,Sacramento Kings,115,"18,151",Golden 1 Center,Regular Season
"Mon, Mar 27, 2023",10:30p,Chicago Bulls,112,Los Angeles Clippers,124,"19,068",Crypto.com Arena,Regular Season
"Tue, Mar 28, 2023",7:00p,Boston Celtics,111,Washington Wizards,130,"20,476",Capital One Arena,Regular Season
"Tue, Mar 28, 2023",7:30p,Cleveland Cavaliers,118,Atlanta Hawks,120,"17,748",State Farm Arena,Regular Season
"Tue, Mar 28, 2023",7:30p,Miami Heat,92,Toronto Raptors,106,"19,800",Scotiabank Arena,Regular Season
"Tue, Mar 28, 2023",8:00p,Orlando Magic,108,Memphis Grizzlies,113,"16,507",FedEx Forum,Regular Season
"Tue, Mar 28, 2023",8:00p,Charlotte Hornets,137,Oklahoma City Thunder,134,"15,428",Paycom Center,Regular Season
"Tue, Mar 28, 2023",10:00p,New Orleans Pelicans,109,Golden State Warriors,120,"18,064",Chase Center,Regular Season
